study_id,effect_id,paradigm_family,dln_stage_code,metric,r_approx,n,yi,vi
S015,E0043,interoception_decision_quality,linear,fisher_z(r),0.07328817094736575,190,0.07341980950562568,0.0053475935828877
S015,E0044,interoception_decision_quality,linear,fisher_z(r),0.031247816661497545,314,0.03125799301806306,0.003215434083601286
S016,E0045,interoception_decision_quality,linear,fisher_z(r),-0.0011008041830368118,97,-0.0011008046276775746,0.010638297872340425
S016,E0046,interoception_decision_quality,linear,fisher_z(r),-0.05550959707568741,185,-0.055566716906966844,0.005494505494505495
S016,E0047,interoception_decision_quality,linear,fisher_z(r),0.10237645629624881,262,0.10273638960997926,0.003861003861003861
S017,E0048,interoception_decision_quality,linear,fisher_z(r),0.12154818438564262,229,0.12215212981066277,0.004424778761061947
S017,E0049,interoception_decision_quality,linear,fisher_z(r),0.006125691731724309,340,0.0061257683538041416,0.002967359050445104
S017,E0050,interoception_decision_quality,linear,fisher_z(r),0.06616948002643976,342,0.06626630667385636,0.0029498525073746312
S018,E0051,interoception_decision_quality,network,fisher_z(r),0.3048814375084832,305,0.3148925193085943,0.0033112582781456954
S018,E0052,interoception_decision_quality,network,fisher_z(r),0.24681219567009766,392,0.2520153622893817,0.002570694087403599
S018,E0053,interoception_decision_quality,network,fisher_z(r),0.29389960958226635,387,0.3028292335706154,0.0026041666666666665
S019,E0054,interoception_decision_quality,network,fisher_z(r),0.30413031916447086,156,0.3140646364393701,0.006535947712418301
S019,E0055,interoception_decision_quality,network,fisher_z(r),0.1961083850099141,279,0.19868205022858132,0.0036231884057971015
S019,E0056,interoception_decision_quality,network,fisher_z(r),0.24553060399599408,379,0.25065109531305935,0.0026595744680851063
S020,E0057,interoception_decision_quality,network,fisher_z(r),0.3743626093571203,395,0.39348719534852744,0.002551020408163265
S020,E0058,interoception_decision_quality,network,fisher_z(r),0.1118267153056394,115,0.11229638336576,0.008928571428571428
S020,E0059,interoception_decision_quality,network,fisher_z(r),0.3056645084932829,157,0.31575606560651426,0.006493506493506494
S021,E0060,interoception_decision_quality,network,fisher_z(r),0.15572006070676617,241,0.15699736832958885,0.004201680672268907
S021,E0061,reappraisal_effectiveness,dot,fisher_z(r),0.13132365548020647,125,0.1320864963566068,0.00819672131147541
S021,E0062,reappraisal_effectiveness,dot,fisher_z(r),-0.01544973256007505,125,-0.01545096199019211,0.00819672131147541
S022,E0063,reappraisal_effectiveness,dot,fisher_z(r),0.08966544201358023,122,0.08990690804614876,0.008403361344537815
S022,E0064,reappraisal_effectiveness,dot,fisher_z(r),0.25957046338553064,263,0.2656477835331836,0.0038461538461538464
S022,E0065,reappraisal_effectiveness,dot,fisher_z(r),0.1968561077247421,310,0.19945979815666115,0.003257328990228013
S023,E0066,reappraisal_effectiveness,dot,fisher_z(r),0.3166960137846561,81,0.32797051119443754,0.01282051282051282
S023,E0067,reappraisal_effectiveness,dot,fisher_z(r),0.12765875020271678,367,0.12835908550305847,0.0027472527472527475
S023,E0068,reappraisal_effectiveness,dot,fisher_z(r),0.10155777968831645,241,0.10190911150088117,0.004201680672268907
S024,E0069,reappraisal_effectiveness,dot,fisher_z(r),0.1071667799637936,335,0.10757989050556896,0.0030120481927710845
S024,E0070,reappraisal_effectiveness,dot,fisher_z(r),0.13895162263387434,346,0.13985639936760308,0.0029154518950437317
S024,E0071,reappraisal_effectiveness,linear,fisher_z(r),0.05131808450179495,107,0.05136320532852279,0.009615384615384616
S025,E0072,reappraisal_effectiveness,linear,fisher_z(r),0.16463205612918133,180,0.1661441026654242,0.005649717514124294
S025,E0073,reappraisal_effectiveness,linear,fisher_z(r),0.15177957908324483,334,0.1529614765024408,0.0030211480362537764
S025,E0074,reappraisal_effectiveness,linear,fisher_z(r),0.11567451251552063,256,0.1161946257842154,0.003952569169960474
S026,E0075,reappraisal_effectiveness,linear,fisher_z(r),0.11876908149107492,207,0.11933231219439758,0.004901960784313725
S026,E0076,reappraisal_effectiveness,linear,fisher_z(r),0.08232618902977537,91,0.08251294042064054,0.011363636363636364
S026,E0077,reappraisal_effectiveness,linear,fisher_z(r),0.14393489069552656,240,0.14494141053583684,0.004219409282700422
S027,E0078,reappraisal_effectiveness,linear,fisher_z(r),0.2125041448840394,303,0.21579246696286702,0.0033333333333333335
S027,E0079,reappraisal_effectiveness,linear,fisher_z(r),0.17377562230781615,215,0.1755572396993976,0.0047169811320754715
S027,E0080,reappraisal_effectiveness,linear,fisher_z(r),0.22942914694149075,256,0.23358681233915596,0.003952569169960474
S028,E0081,reappraisal_effectiveness,network,fisher_z(r),0.276868717581319,127,0.28428762981209055,0.008064516129032258
S028,E0082,reappraisal_effectiveness,network,fisher_z(r),0.3826278565104212,185,0.40313460961990283,0.005494505494505495
S028,E0083,reappraisal_effectiveness,network,fisher_z(r),0.44841803829499616,157,0.48271839407140643,0.006493506493506494
S029,E0084,reappraisal_effectiveness,network,fisher_z(r),0.261956560853588,113,0.2682079690658926,0.00909090909090909
S029,E0085,reappraisal_effectiveness,network,fisher_z(r),0.34549152873103856,148,0.3603150728824682,0.006896551724137931
S029,E0086,reappraisal_effectiveness,network,fisher_z(r),0.22633297694123683,141,0.2303210487805514,0.007246376811594203
S030,E0087,reappraisal_effectiveness,network,fisher_z(r),0.3113586027287415,158,0.322049156487752,0.0064516129032258064
S030,E0088,reappraisal_effectiveness,network,fisher_z(r),0.4748132981810008,202,0.5162664306863003,0.005025125628140704
S030,E0089,reappraisal_effectiveness,network,fisher_z(r),0.2904888416849506,88,0.2991000745637697,0.011764705882352941
S031,E0090,reappraisal_effectiveness,network,fisher_z(r),0.1838312097019296,348,0.1859450307395652,0.002898550724637681
